Date,Open,High,Low,Close,Adj Close,Volume
2013-05-17,153.710007,156.250000,153.449997,155.259995,155.259995,115600
2013-05-20,155.490005,156.000000,153.300003,153.960007,153.960007,49200
2013-05-21,153.779999,153.970001,152.509995,153.330002,153.330002,34900
2013-05-22,153.229996,153.789993,150.009995,150.380005,150.380005,42100
2013-05-23,149.970001,152.419998,148.000000,152.369995,152.369995,69100
2013-05-24,152.380005,152.860001,149.850006,150.190002,150.190002,75000
2013-05-28,151.009995,152.059998,150.429993,151.490005,151.490005,84300
2013-05-29,150.490005,151.360001,149.240005,149.830002,149.830002,39600
2013-05-30,149.809998,151.389999,149.360001,150.110001,150.110001,36800
2013-05-31,149.080002,153.460007,149.029999,152.839996,152.839996,66300
2013-06-03,152.610001,155.050003,152.000000,154.089996,154.089996,62900
2013-06-04,154.729996,155.789993,151.470001,153.679993,153.679993,53300
2013-06-05,153.259995,155.320007,153.160004,153.440002,153.440002,44300
2013-06-06,153.020004,153.960007,151.690002,153.039993,153.039993,48000
2013-06-07,154.149994,156.779999,153.100006,156.740005,156.740005,23100
2013-06-10,157.000000,157.949997,153.949997,155.259995,155.259995,43000
2013-06-11,154.130005,157.550003,152.800003,156.490005,156.490005,21000
2013-06-12,162.000000,167.160004,161.139999,165.059998,165.059998,147200
2013-06-13,165.820007,169.929993,164.240005,167.330002,167.330002,64600
2013-06-14,166.639999,167.750000,165.509995,165.820007,165.820007,29600
2013-06-17,166.179993,170.509995,166.000000,170.110001,170.110001,63100
2013-06-18,170.080002,172.000000,168.800003,171.529999,171.529999,61500
2013-06-19,171.559998,174.330002,170.080002,170.350006,170.350006,44900
2013-06-20,169.929993,169.990005,165.440002,165.960007,165.960007,51500
2013-06-21,166.500000,169.339996,166.039993,168.500000,168.500000,76500
2013-06-24,166.990005,170.289993,166.410004,169.380005,169.380005,64300
2013-06-25,170.000000,173.139999,169.089996,172.830002,172.830002,48900
2013-06-26,173.110001,174.589996,171.850006,171.929993,171.929993,27000
2013-06-27,172.250000,173.190002,169.809998,171.750000,171.750000,46900
2013-06-28,171.009995,173.190002,170.179993,170.639999,170.639999,54500
2013-07-01,170.389999,174.889999,170.389999,173.740005,173.740005,35100
2013-07-02,173.259995,176.470001,171.869995,174.350006,174.350006,50500
2013-07-03,172.940002,174.660004,171.820007,174.580002,174.580002,11200
2013-07-05,175.500000,176.500000,174.160004,175.460007,175.460007,24900
2013-07-08,175.289993,177.660004,174.520004,177.660004,177.660004,33000
2013-07-09,178.759995,179.410004,175.229996,178.369995,178.369995,45300
2013-07-10,178.850006,180.190002,176.690002,179.270004,179.270004,35300
2013-07-11,180.940002,180.940002,179.000000,179.910004,179.910004,50100
2013-07-12,179.330002,181.020004,178.710007,180.199997,180.199997,31900
2013-07-15,180.199997,181.830002,179.199997,180.720001,180.720001,56400
2013-07-16,180.139999,181.679993,179.309998,180.190002,180.190002,36700
2013-07-17,180.179993,180.490005,179.220001,179.839996,179.839996,30300
2013-07-18,179.800003,180.000000,178.199997,178.539993,178.539993,43800
2013-07-19,178.270004,179.850006,178.270004,179.720001,179.720001,29400
2013-07-22,180.089996,180.360001,178.000000,180.000000,180.000000,48600
2013-07-23,179.729996,180.720001,179.000000,179.869995,179.869995,29600
2013-07-24,180.500000,180.690002,178.330002,179.350006,179.350006,47700
2013-07-25,178.710007,181.000000,178.710007,180.210007,180.210007,27300
2013-07-26,179.110001,180.940002,178.410004,179.300003,179.300003,35200
