"","Country","Project.name","Subtype.of.PPI","Project.status","Subsector","Location4.1","ContractPeriod","InvestmentYear","TotalInvestment","CapacityType","Capacity","lon","lat"
"129","China","Shan County Jiashan River Wastewater Treatment Plant","BOT","Active","Treatment plant","Shan County","25",2005,"8.18","Cubic meters per day (in thousands)","40",116.107428,34.778808
"130","China","Shandong Changyi Wastewater Treatment Plant","BOT","Active","Treatment plant","Changyi City","20",2005,"5.49","Cubic meters per day (in thousands)","30",119.398525,36.858819
"131","China","Shanghai Zhuyuan No. 1 Sewage Treatment Plant","ROT","Active","Treatment plant","Shanghai Municipaclity","20",2005,"18.12","Cubic meters per day (in thousands)","1700",121.4737021,31.2303904
"132","China","Suqian Water and Wastewater Plants","BOT","Active","Treatment plant","Suqian city","30",2005,"21.5","Cubic meters per day (in thousands)","60",118.275198,33.963232
"133","China","Tangshan City Qianxi County Wastewater Treatment Plant","BOT","Active","Treatment plant","Qianxi County","25",2005,"8.55","Cubic meters per day (in thousands)","40",106.033544,27.007713
"134","China","Wuhan Hanxi Municipal Wastewater Treatment Project ","BOT","Active","Treatment plant","Hankou District","25",2005,"23.57","Cubic meters per day (in thousands)","400",114.305539,30.592849
"135","China","Wuhu Hong Kong and China Water Company Limited","ROT","Active","Water Utility","Wuhu city","30",2005,"84.6","Population (in thousands)","2250",118.432941,31.352859
"136","China","Wujiang Hong Kong and China Water Company Limited","ROT","Active","Water Utility","Wujiang City","30",2005,"117","Population (in thousands)","1000",120.645158,31.138677
"137","China","Wuxi Qianqiao Comprehensive Wastewater Treatment Plant","BOT","Active","Treatment plant","Wuxi City","20",2005,"14.65","Cubic meters per day (in thousands)","60",120.31191,31.491169
"138","China","Xintai City Wastewater","BOT","Active","Treatment plant","Xintai City","30",2005,"12.85","Cubic meters per day (in thousands)","80",117.767952,35.909032
"139","China","Zhuozhou Sewage Treatment Plants ","BOT","Cancelled","Treatment plant","Zhuozhou city","25",2005,"15.1","Cubic meters per day (in thousands)","74",115.974422,39.485282
"140","China","Anhui Xiuning County Wastewater Treatment Plant","BOT","Active","Treatment plant","Xiuning County","25",2006,"9.79","Cubic meters per day (in thousands)","40",118.193668,29.784044
"141","China","Beijing Underground Waste Water Treatment Facility","BOT","Active","Treatment plant","Beijing City","29",2006,"13.8","Cubic meters per day (in thousands)","40",116.4073963,39.9041999
"142","China","Caijiabo Wastewater Treatment Plant","BOT","Active","Treatment plant","Baoji City","20",2006,"7.5","Cubic meters per day (in thousands)","50",107.237743,34.363184
"143","China","Changshu Water Supply Company Ltd.","Lease","Active","Water Utility","Changshu City","30",2006,"75.4","Cubic meters per day (in thousands)","675",120.752481,31.654375
"144","China","Changxing County Meishan Town Water and Wastewater Treatment Plant","BOT","Active","Treatment plant","Changxing County","25",2006,"14.75","Cubic meters per day (in thousands)","45",119.910952,31.026665
"145","China","Chongqing Wastewater Treatment Plant","BOT","Active","Treatment plant","Chongqing Muncipality","30",2006,"37.64","Cubic meters per day (in thousands)","302",106.912251,29.4315861
"146","China","Dalian City Chunliu River Wastewater Treatment Plant Phase II","BOT","Active","Treatment plant","Dalian City","20",2006,"14.44","Cubic meters per day (in thousands)","120",121.614682,38.914003
"147","China","Dalian City Malan River Wastewater Treatment Plant Phase II","BOT","Active","Treatment plant","Dalian City","20",2006,"12.55","Cubic meters per day (in thousands)","80",121.614682,38.914003
"148","China","Dengzhou City Wastewater Treatment Plant","BOT","Active","Treatment plant","Dengzhou City","30",2006,"4.02","Cubic meters per day (in thousands)","30",112.087455,32.687733
"149","China","Deqing Potable Water Treatment Plant","BOT","Active","Treatment plant","Deqing County","25",2006,"20","Cubic meters per day (in thousands)","104",119.9774,30.54251
"150","China","Fengtai County Water Supply Facility","BOT","Active","Treatment plant","Fengtai County","40",2006,"17.8","Cubic meters per day (in thousands)","104",116.71105,32.709444
"151","China","Ganyu County Sewerage Treatment Facility","BOT","Active","Treatment plant","Ganyu County","20",2006,"48.5","Cubic meters per day (in thousands)","20",118.911163,34.873204
"152","China","Haining City Water Treatment Plant","BROT","Active","Treatment plant","Haining City","30",2006,"6.75","Cubic meters per day (in thousands)","360",120.680757,30.510659
"153","China","Henan Jiaozuo Wastewater Treatment Plant (Phase one)","ROT","Active","Treatment plant","Jiaozuo City","26",2006,"15","Cubic meters per day (in thousands)","100",113.241823,35.215892
