"","Country","Project.name","Subtype.of.PPI","Project.status","Subsector","Location4.1","ContractPeriod","InvestmentYear","TotalInvestment","CapacityType","Capacity","lon","lat"
"246","China","Panjin City No. 2 Wastewater Treatment Plant","ROT","Active","Treatment plant","Panjin City","30",2010,NA,"Cubic meters per day (in thousands)","100",122.070714,41.119997
"247","China","Qinzhou Economic Development Zone Wastewater Treatment Plant","BOO","Active","Treatment plant","Guangxi Province","50",2010,"9.4","Cubic meters per day (in thousands)","15",108.8076195,23.7247599
"248","China","Shenze County City South Wastewater Treatment Plant","BOT","Active","Treatment plant","Shenze County","29",2010,"5.18","Cubic meters per day (in thousands)","25",115.20092,38.184033
"249","China","Yibin City Yangwan Wastewater Treatment Plant","BOT","Active","Treatment plant","Yibin City","30",2010,"8.82","Cubic meters per day (in thousands)","40",104.643159,28.751836
"250","China","Zaozhuang City Yicheng District Wastewater Treatment Plant","ROT","Active","Treatment plant","Zaozhuang City","25",2010,NA,"Cubic meters per day (in thousands)","40",117.323725,34.810487
"251","China","Zengcheng Xintang Wastewater Treatment Plant","BOT","Active","Treatment plant","Xintang","25",2010,NA,"Cubic meters per day (in thousands)","200",113.823135,23.296786
"252","China","Zhuozhou Songlindian Wastewater Treatment Plant","BOT","Active","Treatment plant","Hebei Province","30",2010,"5.02","Cubic meters per day (in thousands)","25",114.9042208,37.8956594
"253","China","Dihe Wastewater Treatment Plant in Lincheng County ","Management","Active","Treatment plant","Lincheng County","9",2011,NA,"Cubic meters per day (in thousands)","20",114.498761,37.444498
"254","China","Fujian Anxi Longmen Town Wastewater Treatment Plant","BOT","Active","Treatment plant","Anxi County","30",2011,NA,"Cubic meters per day (in thousands)","12.5",118.186288,25.055954
"255","China","Guizhou Kaili City Wastewater Treatment Plant ","ROT","Active","Treatment plant","Kaili City","30",2011,"18.34","Cubic meters per day (in thousands)","80",107.981212,26.566867
"256","China","Hebei Zhangjiakou City Xuanhua District Yangfang Wastewater Treatment Plant","ROT","Active","Treatment plant","Xuanhua District","30",2011,"41.26","Cubic meters per day (in thousands)","120",115.099494,40.608793
"257","China","Hengshui City Raoyang Wastewater Treatment Plant Management Contract","Management","Active","Treatment plant","Hengshui City","4",2011,NA,"Cubic meters per day (in thousands)","15",115.670177,37.73892
"258","China","Huaning County Wastewater Treatment Plant Concession Project","ROT","Active","Treatment plant","Huaning County","25",2011,NA,"Cubic meters per day (in thousands)","10",102.928835,24.19276
"259","China","Longyan City No.2 Wastewater Treatment Plant Phase I ","BOT","Active","Treatment plant","Longyan City","31",2011,"5.57","Cubic meters per day (in thousands)","20",117.017536,25.075123
"260","China","Luquan County Wastewater Treatment Plant Management Contract","Management","Active","Treatment plant","Luquan County","10",2011,NA,"Cubic meters per day (in thousands)","6",102.471518,25.551332
"261","China","Shaanxi Yang County Urban Wastewater Treatment Plant","BOT","Active","Treatment plant","Yang County","30",2011,"18.2","Cubic meters per day (in thousands)","40",107.545836,33.222738
"262","China","Shandong Junan Wastewater Treatment Plant ","ROT","Active","Treatment plant","Junan County","29",2011,"20.93","Cubic meters per day (in thousands)","90",118.835163,35.174846
"263","China","Two wastewater treatment plants in Zibo City ","BOT","Active","Treatment plant","Zibo City","28",2011,"15","Cubic meters per day (in thousands)","55",118.055019,36.813546
"264","China","Wastewater Treatment Facility Portfolio for 18 towns in Changsha County ","BOT","Active","Water Utility","Changsha County","30",2011,"42.03","Cubic meters per day (in thousands)","34.4",113.08081,28.24615
"265","China","Xiong County Wastewater Treatment Plant Management Agreement","Management","Active","Treatment plant","Xiong County","3",2011,NA,"Cubic meters per day (in thousands)","20",116.10865,38.99455
"266","China","Yinchuan Wastewater Treatment Plant Concession Project","ROT","Active","Treatment plant","Yinchuan City","30",2011,"123.79","Cubic meters per day (in thousands)","500",106.230908,38.487193
"267","China","Zhongxiang City Wastewater Treatment Plant Concession Project","ROT","Active","Treatment plant","Zhongxiang City","28",2011,"9.99","Cubic meters per day (in thousands)","50",112.58812,31.16782
"268","China","Zhuzhou County Wastewater Treatment Plant ","Management","Active","Treatment plant","Zhuzhou County","5",2011,"15.95","Cubic meters per day (in thousands)","20",113.143921,27.699234
"269","China","Anshan City Dagushan Wastewater Treatment Plant","BOT","Active","Treatment plant","Anshan City","30",2012,"14.9","Cubic meters per day (in thousands)","30",122.994329,41.108647
"270","China","Anshan City Ningyuan Wastewater Treatment Plant","BOT","Active","Treatment plant","Anshan City","30",2012,"30.11","Cubic meters per day (in thousands)","80",122.994329,41.108647
"271","China","Bozhou Wastewater Treatment Plant Concession Agreement  ","ROT","Active","Treatment plant","Bozhou City","30",2012,NA,"Cubic meters per day (in thousands)","80",115.778676,33.844582
"272","China","Chuzhou City No. 2 Wastewater Treatment Plant ","BOT","Active","Treatment plant","Chuzhou City","29",2012,"23.77","Cubic meters per day (in thousands)","50",118.328321,32.253425
"273","China","Dangtu County No. 2 Wastewater Treatment Plant ","BOT","Active","Treatment plant","Dangtu County","30",2012,"5.03","Cubic meters per day (in thousands)","15",118.497972,31.571213
"274","China","Dayi County Jinyuan Town and Huashuiwan Town Wastewater Treatment Plants Management Contra","Management","Active","Treatment plant","Dayi County","2",2012,NA,"Cubic meters per day (in thousands)","27",103.511899,30.572331
"275","China","Emeishan City Wastewater Treatment Plant Concession Agreemet  ","ROT","Active","Treatment plant","Emeishan City","30",2012,"13.31","Cubic meters per day (in thousands)","50",103.484503,29.601198
"276","China","Funing County Wastewater Treatment Plant Concession Agreement  ","ROT","Active","Treatment plant","Funing County","30",2012,"2.06","Cubic meters per day (in thousands)","10",119.802527,33.759325
"277","China","Jiangyan City Township Wastewater Treatment Plants ","BOT","Active","Treatment plant","Jiangyan City","25",2012,"76.07","Cubic meters per day (in thousands)","13",120.127934,32.509155
"278","China","Shifang Wastewater Treatment Plant ","ROT","Active","Treatment plant","Shifang City","30",2012,"5.72","Cubic meters per day (in thousands)","30",104.167501,31.12678
"279","China","Wuxue City Wastewater Treatment Plant Phase I Concession Agreement  ","ROT","Active","Treatment plant","Wuxue City","25",2012,"3.8","Cubic meters per day (in thousands)","15",115.561217,29.844107
"280","China","Wuxue City Wastewater Treatment Plant Phase II ","BOT","Active","Treatment plant","Wuxue City","27",2012,"4.75","Cubic meters per day (in thousands)","20",115.561217,29.844107
"281","China","Zhongxiang City Urban Wastewater Treatment Plant Concession Agreement","ROT","Active","Treatment plant","Zhongxiang City","28",2012,"10.36","Cubic meters per day (in thousands)","50",112.58812,31.16782
"282","China","Beijing Fatou, Liqiao and Wulituo Wastewater Treatment Plants Concession Agreement","ROT","Active","Treatment plant","Beijing Municipality ","25",2013,"38.71","Cubic meters per day (in thousands)","40",116.4073963,39.9041999
"283","China","Gangu County Urban Wastewater Treatment Plant O&M Contract","Management","Active","Treatment plant","Gangu County","25",2013,NA,"Cubic meters per day (in thousands)","13",105.335897,34.732099
"284","China","Gaotai County Urban Area Wastewater Treatment Plant O&M Contract","Management","Active","Treatment plant","Gaotai County","30",2013,NA,"Cubic meters per day (in thousands)","6",99.819316,39.377733
"285","China","Huaian City Jinhu County Township Wastewater Treatment Plants Management Contract","Management","Active","Treatment plant","Jinhu County","3",2013,"0.8","Cubic meters per day (in thousands)","5",119.020584,33.025433
"286","China","Huoshan County Wastewater Treatent Plant","ROT","Active","Treatment plant","Huoshan County","30",2013,"4.2","Cubic meters per day (in thousands)","18.7",116.332951,31.392786
"287","China","Jingbian County Wastewater Treatment Plant Phase II","BOT","Active","Treatment plant","Jingbian County","30",2013,"13.14","Cubic meters per day (in thousands)","15",108.793988,37.599438
"288","China","Langxi County Wastewater Treatment Plant Management Renewal Agreement","Management","Active","Treatment plant","Langxi County","8",2013,NA,"Cubic meters per day (in thousands)","20",119.179656,31.126412
"289","China","Nanhe County Wastewater Treatment Plant O&M Contract","Management","Active","Treatment plant","Nanhe County","1",2013,NA,"Cubic meters per day (in thousands)","30",114.683863,37.005017
"290","China","Ningyang County Wastewater Treatment Plant Concession Agreement","ROT","Active","Treatment plant","Ningyang County","30",2013,NA,"Cubic meters per day (in thousands)","40",116.805796,35.758786
"291","China","Operation of 4 Water Reclamation Plants in Shunyi District of Beijing","Management","Active","Treatment plant","Shunyi District","25",2013,NA,NA,NA,116.65465,40.130347
"292","China","Shuangbo County Wastewater Treatment Plant Concession","ROT","Active","Treatment plant","Shuangbo County","30",2013,NA,"Cubic meters per day (in thousands)","10",123.4182833,41.8016106
"293","China","Suqian City Gengche Wastewater Treatment Plant ","BOT","Active","Treatment plant","Suqian City","25",2013,"9.68","Cubic meters per day (in thousands)","25",118.275198,33.963232
"294","China","Suqian City North Wastewater Treatment Plant Phase I","BOT","Active","Treatment plant","Suqian City","25",2013,"8.06","Cubic meters per day (in thousands)","15",118.275198,33.963232
"295","China","Bazhong City Enyang District Wastewater Treatment Plant","BOT","Active","Treatment plant","Enyang District","30",2014,"4.39","Cubic meters per day (in thousands)","15",106.654386,31.787186
"296","China","Chengde City Yingzi District Liuyuan Wastewater Treatment Plant Management Contract","Management","Active","Treatment plant","Chengde City","5",2014,NA,"Cubic meters per day (in thousands)","20",117.96275,40.952942
"297","China","Chongqing Jiulongpo District Wastewater Treatment Plants Management Contract","Management","Active","Treatment plant","Jiulongpo District","25",2014,NA,"Cubic meters per day (in thousands)","41.3",106.510676,29.502272
"298","China","Fuyang City Yingzhou Wastewater Treatment Plant","BOT","Active","Treatment plant","Fuyang City","30",2014,"39.09","Cubic meters per day (in thousands)","100",115.814504,32.890479
"299","China","Hegang Sanli Water Affairs Company Limited","ROT","Active","Water Utility","Hegang City","30",2014,"17.91","Cubic meters per day (in thousands)","86",130.297964,47.349916
"300","China","Hongze County 9 Township Wastewater Treatment Plants","Management","Active","Treatment plant","Hognze County","26",2014,NA,"Cubic meters per day (in thousands)","4.5",118.873241,33.294214
"301","China","Huangping County Township Wastewater Treatment Plants","BOT","Active","Treatment plant","Huangping County","30",2014,"9.12","Cubic meters per day (in thousands)","5.5",107.916411,26.905396
"302","China","Hunan Leiyang Baiyangdu Wastewater Treatment Plant","BOT","Active","Treatment plant","Leiyang City","30",2014,"53.72","Cubic meters per day (in thousands)","100",112.859759,26.422277
"303","China","Kaifeng New District Majiahe Wastewater Treatment Plant","ROT","Active","Treatment plant","Kaifeng City","30",2014,"32.56","Cubic meters per day (in thousands)","100",114.307582,34.797281
"304","China","Shiyan City Shendinghe Wastewater Treatment Plant Management Contract","Management","Active","Treatment plant","Shiyan City","8",2014,"13.03","Cubic meters per day (in thousands)","165",110.798266,32.629398
"305","China","Shuangfeng County Wastewater Treatment Plant Management Renewal Contract","Management","Active","Treatment plant","Shuangfeng County","10",2014,NA,"Cubic meters per day (in thousands)","25",112.175245,27.456658
"306","China","Tacheng City Wastewater Treatment Plant","BOT","Active","Treatment plant","Tacheng City","30",2014,"13.03","Cubic meters per day (in thousands)","40",82.978928,46.748522
"307","China","Xishui County Township Wastewater Treatment Plants","BOT","Active","Treatment plant","Xishui County","30",2014,"42.32","Cubic meters per day (in thousands)","10",115.265535,30.451867
"308","China","Yancheng City 4 Wastewater Treatment Plants Management Contract","Management","Active","Treatment plant","Yancheng City","25",2014,NA,"Cubic meters per day (in thousands)","18",120.16366,33.347316
"309","China","Yangchun City 5 Township Wastewater Treatment Plants","BOT","Active","Treatment plant","Yangchun City","26",2014,"7.32","Cubic meters per day (in thousands)","16",111.791539,22.170437
"310","China","Yangzhou Baoying County No. 2 Wastewater Treatment Plant","Management","Active","Treatment plant","Baoying County","3",2014,NA,"Cubic meters per day (in thousands)","20",119.360729,33.240391
"311","China","Yanshan County Water Diversion Works Phase I","BOT","Active","Water Utility","Yanshan County","50",2014,"26.06","Cubic meters per day (in thousands)","100",104.337243,23.60574
"312","China","Zhaotong City Wastewater Treatment Plant Management Contract","Management","Active","Treatment plant","Zhaotong City","10",2014,NA,"Cubic meters per day (in thousands)","60",103.717465,27.338257
"313","China","Ankang City Wuli Town Wastewater Treatment Plant","BOT","Active","Treatment plant","Ankang City","30",2015,"6.06","Cubic meters per day (in thousands)","10",109.029022,32.684714
"314","China","Changshu City Wastewater Treatmet Plant Management Contract","Management","Active","Treatment plant","Changshu City","5",2015,NA,NA,NA,120.752481,31.654375
"315","China","Chongqing Fengdu County Township Wastewater Treatment Plant Portfolio","BOT","Active","Treatment plant","Fengdu County","20",2015,"31.82","Cubic meters per day (in thousands)","28.8",107.730894,29.8635
"316","China","Dandong New District Wastewater Treatment Plant Phase I","BOT","Active","Treatment plant","Dandong City","31",2015,"21.21","Cubic meters per day (in thousands)","35",124.35445,40.000787
"317","China","Dazhu County 7 Township Wastewater Treatment Plants","BOT","Active","Treatment plant","Dazhu County","25",2015,"15.58","Cubic meters per day (in thousands)","11",107.204744,30.736266
"318","China","Hefei City Qingxi Wastewater Treatment Plant","BOT","Active","Treatment plant","Hefei City","29",2015,"169.25","Cubic meters per day (in thousands)","200",117.227219,31.820591
"319","China","Hengshan County Wastewater Treatment Plant Phase I","ROT","Active","Treatment plant","Hengshan County","30",2015,"5.59","Cubic meters per day (in thousands)","20",112.868268,27.23029
"320","China","Huaiyuan County Wobei Wastewater Treatment Plant","BOT","Active","Treatment plant","Huaiyuan County","30",2015,"15.98","Cubic meters per day (in thousands)","20",117.205237,32.970031
"321","China","Huaiyuan Couty Wastewater Treatment Plant","ROT","Active","Treatment plant","Huaiyuan County","30",2015,"8.03","Cubic meters per day (in thousands)","30",117.205237,32.970031
"322","China","Huizhou City Jinshan Wastewater Treatment Phase II and Associated Networks","BOT","Active","Treatment plant","Huizhou City","27",2015,"55.94","Cubic meters per day (in thousands)","100",114.415801,23.112257
"323","China","Huoqiu County 5 Township Wastewater Treatment Plants","BOT","Active","Treatment plant","Huoqiu County","30",2015,"27.3","Cubic meters per day (in thousands)","20",116.277911,32.353038
"324","China","Langxi County Wastewater Treatment Plant and Associated Networks","BROT","Active","Treatment plant","Langxi Couty","25",2015,"35.34","Cubic meters per day (in thousands)","40",119.179656,31.126412
"325","China","Nanjing Xianlin Wastewater Treatment Plant","ROT","Active","Treatment plant","Nanjing City","30",2015,"61.19","Cubic meters per day (in thousands)","100",118.796877,32.060255
"326","China","Rugao City Tongyuan Wastewater Treatment Phase I II & III","BROT","Active","Treatment plant","Rugao City","30",2015,"58.99","Cubic meters per day (in thousands)","100",120.574945,32.370557
"327","China","Ruzhou City No. 3 Potable Water Plant","BOT","Active","Treatment plant","Ruzhou City","30",2015,"34.57","Cubic meters per day (in thousands)","60",112.844517,34.167029
"328","China","Shangqiu City No. 6 Wastewater Treatment Plant Phase I","BOT","Active","Treatment plant","Shangqiu City","28",2015,"14.89","Cubic meters per day (in thousands)","50",115.656339,34.414961
"329","China","Shantou City Chaonan District Three Wastewater Treatment Plants","BOT","Active","Treatment plant","Shantou City","30",2015,"104.02","Cubic meters per day (in thousands)","75",116.681972,23.354091
"330","China","Tonglu Fuchun Wastewater Treatment Plant Phase I and II Rehabilitation Project","BOT","Active","Treatment plant","Tonglu County","25",2015,"31.01","Cubic meters per day (in thousands)","60",119.691434,29.793535
"331","China","Xingping City Wastewater Treatment Plant Phase I","ROT","Active","Treatment plant","Xingping City","25",2015,"15.93","Cubic meters per day (in thousands)","50",108.490475,34.29922
"332","China","Yongjia County Jiangdong and Huangtian Wastewater Treatment Plants","BOT","Active","Treatment plant","Yongjia County","30",2015,"22.95","Cubic meters per day (in thousands)","20",120.692025,28.153607
"333","China","Yunhe County Urben Wastewater Treatment Plant Phase I","ROT","Active","Treatment plant","Yunhe County","28",2015,"1","Cubic meters per day (in thousands)","5",119.573397,28.11579
"334","China","Yunhe County Urben Wastewater Treatment Plant Phase II","BOT","Active","Treatment plant","Yunhe County","28",2015,"6.1","Cubic meters per day (in thousands)","15",119.573397,28.11579
"335","China","Zunyi City Tongzi County 13 Wastewater Treatment Plants","BOT","Active","Treatment plant","Tongzi County","30",2015,"28.04","Cubic meters per day (in thousands)","26.2",106.825301,28.133231
"336","China","Changfeng County Wushan Town Wastewater Treatment Plant Management Contract","Management","Active","Treatment plant","Changfeng County","3",2016,NA,"Cubic meters per day (in thousands)","5",117.167563,32.478018
"337","China","Dali Eryuan County Urban and Rural Watewater Utilities Project","BOT","Active","Treatment plant","Eryuan County","25",2016,"347.64","Cubic meters per day (in thousands)","20",99.951053,26.11116
"338","China","Dongzhi County Wastewater Treatment Plant","ROT","Active","Treatment plant","Dongzhi County","30",2016,"23.17","Cubic meters per day (in thousands)","20",117.027532,30.111182
"339","China","Haidong City Ledu District Wastewater Treatment Plant","BOT","Active","Treatment plant","Haidong City","30",2016,"21.47","Cubic meters per day (in thousands)","40",102.104287,36.502039
"340","China","Hefei City Hudaying Wastewater Treatment Plant","BOT","Active","Treatment plant","Hefei City","29",2016,"59.45","Cubic meters per day (in thousands)","100",117.227219,31.820591
"341","China","Heshuo County Wastwater Treatment Plant Rehabilitation and Expansion Project","BOT","Active","Treatment plant","Heshuo County","27",2016,"15.37","Cubic meters per day (in thousands)","25",86.863963,42.268371
"342","China","Jize County East New Zone Wastewater Treatment Plant","BOT","Active","Treatment plant","Jize County","25",2016,"2.99","Cubic meters per day (in thousands)","5",114.878299,36.92035
"343","China","Leqing City Wengyang Wastewater Treatment Plant Phase I","BOT","Active","Treatment plant","Leqing City","30",2016,"35.82","Cubic meters per day (in thousands)","60",120.983906,28.113725
"344","China","Linhai City Nanyang No. 2 Wastewater Treatment Plant Phase I","BOT","Active","Treatment plant","Linhai City","20",2016,"12.04","Cubic meters per day (in thousands)","25",121.131229,28.845441
"345","China","Meishan City Pengshan District Water Utilities Project Phase I","BOT","Active","Treatment plant","Meishan City","30",2016,"24.8","Cubic meters per day (in thousands)","9.2",103.848396,30.07728
"346","China","Tongjiang County Township Wastewater Treatment Plant Portfolio","BOT","Active","Treatment plant","Tongjiang County","30",2016,"68.84","Cubic meters per day (in thousands)","23",107.245033,31.911705
"347","China","Xi'an City No. 9 Wastewater Treatment Plant Phase III","BOT","Active","Treatment plant","Xi'an City","30",2016,"39.13","Cubic meters per day (in thousands)","50",108.93977,34.341574
"348","China","Xianning City Wastewater Treatment Plant Sludge Disposal Project","BOT","Active","Treatment plant","Xianning City","30",2016,"4.79","Other","100",114.322439,29.841438
"349","China","Xiantao City Wastewater Treatment Plant Portfolio","BROT","Active","Treatment plant","Xiantao City","30",2016,"46.66","Cubic meters per day (in thousands)","42",113.423482,30.360882
"350","China","Xingren County Wastewater Treatment Plant Portfolio","BOT","Active","Treatment plant","Xingren County","30",2016,"14.53","Cubic meters per day (in thousands)","11.9",105.186237,25.435183
"351","China","Yuncheng County No. 2 Wastewater Treatment Plant","Management","Active","Treatment plant","Yuncheng County","15",2016,NA,"Cubic meters per day (in thousands)","10",115.943613,35.599757
"352","China","Yunfu City Yunan County Wastewater Treatment Plant Portfolio","BOT","Active","Treatment plant","Yunan County","30",2016,"75.61","Cubic meters per day (in thousands)",NA,112.003208,23.071019
"353","China","Zhaoyuan City Jindu Wastewater Treatment Plant Phase III","BOT","Active","Treatment plant","Zhaoyuan City","26",2016,"28.6","Cubic meters per day (in thousands)","50",120.434071,37.355469
"354","China","Zhuji City Huandong Recalimed Water Plant","BOT","Active","Treatment plant","Zhuji City","30",2016,"93.92","Cubic meters per day (in thousands)","80",120.246863,29.708692
"355","China","Baofeng County Wastewater Treatment Plant Concession Project","ROT","Active","Treatment plant","Baofeng County","30",2017,"16.12","Cubic meters per day (in thousands)","40",113.054801,33.868434
"356","China","Dali Haidong New Mountainous City Er Sea Protection Water Environment Treatment PPP Project","BOT","Active","Treatment plant","Dali City","23",2017,"290.95","Cubic meters per day (in thousands)",NA,100.267638,25.606486
"357","China","Gulang County Water PPP Project","BOT","Active","Treatment plant","Gulang County","30",2017,"23.5","Cubic meters per day (in thousands)","3",102.897533,37.47012
"358","China","Hanshan County Government Site Wastewater Treatment Plant","BOT","Active","Treatment plant","Hanshan County","25",2017,"15.71","Cubic meters per day (in thousands)","4.65",118.101421,31.735598
"359","China","He County Wastewater Treatment Plant Management Contract","Management","Active","Treatment plant","He County","8",2017,"7.06","Cubic meters per day (in thousands)","25",118.353667,31.742293
"360","China","Huanggang Tuanfeng County Zongluzui Town Wastewater Treatment Plant","BOT","Active","Treatment plant","Tuanfeng County","30",2017,"2.41","Cubic meters per day (in thousands)","15",114.872191,30.643569
"361","China","Jiaxing City East Reclaimed Water Plant Phase I","BOT","Active","Treatment plant","Jiaxing City","30",2017,"62.16","Cubic meters per day (in thousands)","80",120.758543,30.753924
"362","China","Liancheng City Wuping County Eight Town Wastewater Treatment Facilities","BOT","Active","Treatment plant","Liancheng County","30",2017,"26.51","Cubic meters per day (in thousands)","16.75",116.754472,25.710538
"363","China","Linquan County Wastewater Treatmet Plant","BOT","Active","Treatment plant","Linquan County","30",2017,"87.04","Cubic meters per day (in thousands)","106",115.263115,33.039715
"364","China","Longyan City Wuping County Five Town Wastewater Treatment Facilities","BOT","Active","Treatment plant","Wuping County","30",2017,"27.35","Cubic meters per day (in thousands)","11.3",116.100342,25.095277
"365","China","Longyan City Yongding County Nine Town Wastewater Treatment Facilities","BOT","Active","Treatment plant","Yongding District","30",2017,"30.54","Cubic meters per day (in thousands)","9.5",110.537138,29.119855
"366","China","Sihong County Township and Village Wastewater Treatment Plant","BOT","Active","Treatment plant","Sihong County","30",2017,"37.82","Cubic meters per day (in thousands)","22.8",118.223591,33.476051
